"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"December 15, 2006","North Bay Regional Center","Napa","California","STAT","NGO","3,000","Thieves took 30 computers and electronic devices from the office.  Personal information of clients may have been on some of the computers.  This included credit card information for some clients.","Dataloss DB","","2006","38.304722","-122.298889"
"December 14, 2010","McDonald's, Arc Worldwide, Silverpop Systems Inc.","Atlanta","Georgia","HACK","BSR","0","Hackers were able to access the information of McDonald's customers.  People who signed up for online promotions or newsletter subscriptions may have had their email addresses, contact information and birth dates exposed.  McDonald's uses a company called Arc Worldwide for its marketing services.  The breach was through Arc Worldwide's business partner Silverpop Systems Inc.","Databreaches.net","","2010","33.748995","-84.387982"
"September 18, 2010","University of Pittsburgh Medical Center Shadyside Hospital","Pittsburgh","Pennsylvania","INSD","MED","19","In February of 2008, an employee disclosed the names, dates of birth and Social Security numbers of patients in exchange for personal gains. The patient information was eventually used to file false tax returns. The former employee was indicted on 14 counts.UPDATE (7/05/2011): A former employee has pleaded guilty to taking the names, Social Security numbers and dates of birth of 19 Shadyside patients.  The employee gave the patient information to other people who then filed fraudulent 2008 tax returns.UPDATE (10/21/2011): The former employee was sentenced to one year of probation for disclosing the information of 19 UPMC patients.  He claims he was intimidated into giving away the information and that the people who collected $84,190 in fraudulent tax returns returned to Zambia.","PHIPrivacy.net","","2010","40.440625","-79.995886"
"November 10, 2010","Holy Cross Hospital, Office of Dr. Elliot Stein","Fort Lauderdale","Florida","INSD","MED","44,000","A criminal investigation uncovered 38 patient files.  The files contained names, addresses, Social Security numbers, dates of birth and descriptions of initial diagnosis from Emergency Room visits.  An investigation that began in June showed that an employee was responsible; that employee was fired.  The employee may have inappropriately accessed 1,500 patient files between April 2009 and September of 2010.  The Hospital now limits the amount of key personal data included in the type of documents involved in the incident.UPDATE (2/17/2011): Five other suspects have been arrested within the past month.  Authorities learned of the fraud ring in May of 2010.UPDATE (4/15/2011): A former Holy
Cross Hospital employee was sentenced to prison for disclosing patient
information.  The woman was
sentenced to 24 months in prison with 12 months of home confinement, followed
by three years of supervised release. 
After being caught selling patient information from her employer, she
pleaded guilty to disclosing individually identifiable health information.UPDATE (6/21/2011): It was revealed that one of the other suspects is being charged with selling information from the office of Dr. Elliot Stein in Aventura. A criminal investigation uncovered lists of patient information from Dr. Stein that included names, Social Security numbers, addresses, dates of birth, and health information.","Databreaches.net","","2010","26.122308","-80.143379"
"March 22, 2011","Lone Star Business Solutions","Wichita","Kansas","PHYS","BSO","0","Thousands of personnel documents were found in a dumpster.  W-4 forms, employment applications, and other employee documents were found by the news team FactFinder 12.  Social Security numbers, addresses, and phone numbers of people across the country were exposed.  It appears that the files were dumped because the office was closing.UPDATE (11/29/2011): Lone Star Funds (LSF) owned Lone Star Business Solutions.  Lone Star Business Solutions managed the LSF restaurants which included Lone Star Steakhouse & Saloon, Texas Land & Cattle Steak House, Del Frisco's Double Eagle Steak House, and Sullivan's Steakhouse.  The documents exposed in this breach were left behind after LSF decided to move the restaurant management business to Dallas.The Kansas attorney general's office investigated the breach and Lone Star Steakhouse (LS Management Inc.) was fine $200,000 for the improper disposal of confidential employee records.","Databreaches.net","","2011","37.692236","-97.337545"
"January 11, 2011","University of Connecticut, HuskyDirect.com","Storrs","Connecticut","HACK","EDU","18,059","Customers who used their credit cards on UConn's Huskydirect.com sports gear website may have had their personal information exposed in a data security breach.  A hacker was able to access the Huskydirect.com customer database and may have viewed billing information with names, addresses, telephone numbers, credit card numbers, expiration dates, security codes and email addresses.  The Huskydirect.com database is run by an outside vendor.  People who made purchases offline are not at risk.UPDATE (1/31/2011): Some people who were affected by the breach have recently reported fraudulent charges.UPDATE (2/19/2011): Additional details reveal the exact number of names that were on the customer database, the fact that the perpetrator used an administrative password, and the fact that Fandotech, the company that was hosting and managing the site, was not following correct web security procedures.","Databreaches.net","","2011","41.808431","-72.249523"
"March 31, 2011","Adult Industry Medical Healthcare Foundation (AIM Medical Associates P.C.)","Sherman Oaks","California","UNKN","MED","12,000","Over 12,000 current and former adult film performers had their names, home addresses and other personally identifying information posted on the internet.  It appears that information from people who tested for HIV and other sexually transmitted diseases at the Adult Industry Medical Healthcare Foundation (AIM) was obtained somehow and misused.UPDATE (5/3/2011):A privacy lawsuit and other troubles caused AIM Healthcare to shut down and file for bankruptcy. UPDATE (7/26/2011): The website that contained the personal and medical information of porn actors, PornWikiLeaks, was forced to shut down after being targeted by hackers.","PHIPrivacy.net","","2011","34.151117","-118.449248"
"March 10, 2011","TD Bank","Elmwood Park","New Jersey","INSD","BSF","0","A dishonest employee was charged with selling the account information of seven to ten customers.  The former employee sold account numbers between November of 2010 and February.  Approximately $39,000 in fraudulent charges may have been caused because of the former employee's actions.","Databreaches.net","","2011","40.903988","-74.118476"
"January 20, 2011","Chase Bank","San Luis Obispo","California","CARD","BSF","100","Three people were arrested for tampering with ATMs and making fraudulent charges on customer cards.  They allegedly accomplished this by placing small cameras and card readers on at least two ATMs in the San Luis Obispo area.  Over 100 people discovered that fraudulent charges had been made on their cards.  Investigators first became aware of the situation on January 13.","Databreaches.net","","2011","35.282752","-120.659616"
"February 2, 2011","University Book Exchange","Greenville","North Carolina","CARD","BSR","100","People who used their credit or debit cards to make purchases at the University Book Exchange may have had their financial information taken.  A number of victims have contacted the police, but investigators are still not completely sure that the source of the fraudulent activity is a breach at the U.B.E. store. All or nearly all of those affected by the breach were connected to East Carolina University.UPDATE (2/13/2011): At least 100 East Carolina University students have reported fraudulent charges to their accounts.  The breach is believed to have occurred between January 5 and 25.  ","Databreaches.net","","2011","35.612661","-77.366354"
"February 3, 2011","SettlementOne Credit Corporation, Sackett National Holdings Inc., ACRAnet Inc., Fajilan and Associates Inc. (Statewide Credit Services and Robert Fajilan)","","","HACK","BSO","1,800","Three companies who resell consumer credit reports have agreed to settle with the FTC over charges that computer hackers could easily access consumer data through their weak information security systems.  Hackers accessed more than 1,800 credit reports via security flaws in the computer networks used by the companies' clients.UPDATE (8/22/2011): FTS has approved the final orders settling charges against the three credit report resellers.  The approval comes after a period of public comment.  The companies will be required to strengthen their data security procedures and submiit to audits for 20 years.","Databreaches.net","","2011","37.090240","-95.712891"
"March 9, 2011","Eastern Michigan University","Ypsilanti","Michigan","INSD","EDU","45","Two former student employees may have obtained student information and provided it to outsiders. Names, Social Security numbers and dates of birth may have been exposed.UPDATE (10/25/2011): A former student was charged with eight counts of felonies related to the breach. The charges include identity theft and using a computer to commit a crime.  A warrant was issued for a second student. ","Databreaches.net","","2011","42.241150","-83.612994"
"February 15, 2011","Affiliated Computer Services (ACS)","Columbus","Ohio","DISC","BSO","8,000","ACS handles the state of Ohio's automated system for paying and tracking child care providers.  An ACS mistake meant that over 8,000 providers were mailed letters with Social Security numbers visible from the outside of the envelope.  Some of the providers were childcare centers and only had ID numbers revealed; smaller providers who had their Social Security numbers as IDs face a greater risk.","Databreaches.net","","2011","39.961176","-82.998794"
"February 16, 2011","Charleston Area Medical Center (CAMC)","Charleston","West Virginia","DISC","MED","3,655","Someone discovered that they could find information about a relative's name, address, patient ID, date of birth, Social Security number and other sensitive information through an online search that brought up WVChamps.com.  WVChamps.com is a CAMC website relating to respiratory and pulmonary rehabilitation for seniors.  The information was accidentally posted in a report on September 1, 2010 and appears to have been accessed a total of 94 times.  The error was discovered on February 8 of 2011.  The breach occurred within the CAMC subsidiary CAMC Health Education Research Institute.UPDATE (5/5/2011): Five patients who were affected by the breach filed a lawsuit seeking class action status for all affected patients.  The lawsuit alleges four counts against the hospital: breach of the duty of confidentiality, invasion of privacy by intrusion upon the seclusion of the plaintiffs, invasion of privacy by unreasonable publicity into the plaintiff's private life, and negligence.","PHIPrivacy.net","","2011","38.349820","-81.632623"
"April 2, 2011","Epsilon","Irving","Texas","HACK","BSO","250,000,000","Epsilon, an email service provider for companies, reported a breach that affected approximately two percent of its 2,500 clients. Only e-mail addresses and names were stolen. Epsilon has not disclosed the names of the companies affected or the total number of names stolen. However, millions of customers have received notices from a growing list of affected companies (http://www.databreaches.net/?p=17374), making this the largest security breach ever.The Secret Service is investigating this breach. Customers are expected to receive targeted spam that has their name and email address, and appears to come from one of the affected companies. These phishing attempts could result in further loss of consumer personal information. People who receive spam should report it to phishing-report@us.cert.gov.UPDATE (05/02/2011): The original estimate of companies affected was changed from 2% to 3% of Epsilon customers.  A total of 75 companies were affected and these companies may end up paying a combined amount of $412 million in damage control. Epsilon itself could pay $225 million. Some estimate the total cost of the Epsilon breach could run as high as $3-$4 billion in forensic audits and monitoring, fines, litigation, and lost business for provider and customers.  Conservative estimates place the number of customer email addresses breached at 50-60 million.  The total of customer emails exposed could reach 250 million.","Databreaches.net","","2011","32.814018","-96.948895"
"February 28, 2011","Delray Beach and Oakland Park Fire Fighters and Police Officers","Oakland Park","Florida","UNKN","GOV","400","A Miami man was caught using fraudulently obtained debit cards.  The investigation began when 31 Oakland Park firefighters discovered fraudulent tax returns had been filed in their names.  The cause of the breach is unknown, but current and former firefighters and police officers of Oakland Park and Delray Beach had the same retirement plan administrator at one point.","Databreaches.net","","2011","26.172307","-80.131989"
"April 8, 2011","Broward County School Board, Private Medical Practices","","Florida","INSD","BSO","0","Two former employees from different private medical practice offices were charged with providing confidential patient information to other members of an identity theft and fraud ring.  Both of these people participated in the identity theft and fraud ring from early 2009 until February 2, 2011.  A former employee who worked for the Broward County School Board passed along information from a teacher certification database, which included names, Social Security numbers and dates of birth.  The information was used to fraudulently add people as authorized users to the victims’ credit card and bank accounts. The bank accounts of victims were depleted and one person discovered fraudulent credit card charges of $128,000.  In addition to the three former employees, eight other people and the ringleader were also indicted on March 15, 2011.UPDATE (9/30/2011): The former Broward School District employee was sentenced to just over five years in federal prison for accessing and selling teacher personal information to identity theives.  At least 42 people in Florida had their information stolen; the fraudulent credit card charges that resulted totalled $408,000.  The former employee admitted to selling five to 10 Social Security numbers and dates of birth at a time for $100.","Databreaches.net","","2011","27.664827","-81.515754"
"April 11, 2011","GunnAllen Financial","Tampa","Florida","INSD","BSF","16,000","Former employees of GunnAllen Financial have been fined by the
U.S. Securities and Exchange Commission (SEC) for failing to adequately protect
customer data.  The former
president and national sales manager broke privacy by transferring the
information of GunnAllen Financial clients over to a new business after or
during GunnAllen’s November 2010 liquidation. 
The sales manager was authorized by the president to take a thumb drive
with the information of about 16,000 clients with him to his new job.  The two former employees were fined
$20,000 each and a third former chief compliance officer was fined $15,000 for
failing “to ensure that the firm’s policies and procedures were reasonably
designed to safeguard confidential customer information.” The fines are based
on violations of the SEC’s Safeguard Rule, which requires institutions and
financial advisers under SEC jurisdiction to protect customer data and give
customers the opportunity to opt out of having their information shared with
unaffiliated third parties.","Media","","2011","27.949436","-82.465144"
"April 13, 2011","PNC Automated Teller Machines","Pittsburgh","Pennsylvania","CARD","BSF","211","During April and May 2010, two men placed skimmers on PNC ATMs in Harmar and Waterworks Plaza.  Both men were arrested in April 2011 and face charges of conspiracy, access device fraud and attempt to commit access device fraud.  One man resided in Pompano Beach, Florida and the other in Astoria, New York.UPDATE (5/11/2011): One of the two men was sentenced to 23 months in prison and three years of supervised release for conspiring to commit bank fraud and access device fraud.  Court records reveal that the two men installed electronic skimming equipment onto multiple PNC ATMS in the Western Pennsylvania area.  The illegally installed equipment allowed them to record customer bank account information contained on the magnetic strips of debit and credit cards used at ATMs.  Fraudulent debit and credit cards were created with this information and approximately $208,000 was skimmed from at least 211 accounts.","Databreaches.net","","2011","40.440625","-79.995886"
"April 14, 2011","Private Medical Practice","","Oklahoma","STAT","MED","600","A desktop computer, a portable electronic device, or both were discovered lost on November 24, 2010.  It is unclear who the data belonged to and what kind of information was lost.","HHS via PHIPrivacy.net","","2011","35.007752","-97.092877"
"April 29, 2011","Office of Brian J. Daniels, D.D.S. and Paul R. Daniels D.D.S.","Phoenix","Arizona","PORT","MED","10,000","The March 2, 2011 theft of a portable electronic device resulted in the exposure of electronically stored patient protected health information.","HHS via PHIPrivacy.net","","2011","33.448377","-112.074037"
"May 5, 2011","Private Legal Practice, Baker Moving and Storage","San Rafael","California","PHYS","BSO","0","Twenty boxes of documents with sensitive medical and financial information were lost during transportation sometime around Saturday, April 30.  The information was mostly from the office of a family lawyer, but other sensitive documents may have been lost on Highway 101 during the incident.  The boxes were being transported to a new Baker storage facility. Baker did not inform the lawyer that the documents had been lost and the incident was discovered when the lawyer's son saw a news report about the incident.  The documents appear to be from the 1980's and early 1990's.  An unknown amount of Social Security numbers were also exposed.","PHIPrivacy.net","","2011","37.973535","-122.531087"
"May 4, 2011","Rape and Brooks Orthodontics, P.C.","Columbus","Ohio","STAT","MED","20,744","An office burglary was discovered on the morning of February 4.  A server with patient personal and health information was among the stolen items.  Patients who were seen by the dentists during the past 30 years were affected.  The names of patients and patient guardians, home addresses and dates of birth for patients under 18 were on the server.  Account holders who provided insurance information may have had their Social Security numbers and dates of birth on the server.  Patients who used AllKids with Blue Cross & Blue Shield of Alabama may have had their Social Security number included in the exposed insurance information. An unspecified amount of customer credit card numbers were also stored on the server.","PHIPrivacy.net","","2011","39.961176","-82.998794"
"May 4, 2011","Catholic Social Services","","","PORT","EDU","1,700","The February 1 theft of a contractor's laptop may have exposed client personal and health information.  The laptop was stolen from the car of an out of state contractor working for the Pregnancy Support and Adoption Services program.  It contained personal information that included names, addresses, phone numbers, email addresses, dates of birth, driver's license information, health information, family histories, financial statuses and recommendation for readiness to adopt. Individuals who requested a home study in order to adopt a child between 2008 and 2010 were among those affected.  ","HHS via PHIPrivacy.net","","2011","37.090240","-95.712891"
"May 5, 2011","Union Security Insurance Company","Las Vegas","Nevada","UNKN","BSF","935","On February 18 of 2011, it was discovered that patient health and personal information had accidentally been disclosed.","HHS via PHIPrivacy.net","","2011","36.114646","-115.172816"
"May 5, 2011","Park Avenue Obstetrics and Gynecology, PC","","","PORT","MED","635","A portable electronic device was discovered stolen on March 25, 2011. It contained personal and health information.","HHS via PHIPrivacy.net","","2011","37.090240","-95.712891"
"May 7, 2011","Allina Hospitals and Clinics","Hartford","Connecticut","INSD","MED","11","Twenty-eight employees from Unity Hospital and four from Mercy Hospital were fired for snooping.  The employees each accessed patient medical information without authorization.  Eleven teens and young adults were taken to the two hospitals on March 17 after overdosing at a party. Allegations that employees were accessing electronic medical records for no legitimate reason first surfaced in April.UPDATE (6/1/2011): It appears that a total of 32 employees, including 15 nurses, were fired in a single day for snooping.","PHIPrivacy.net","","2011","41.763711","-72.685093"
"May 6, 2011","Lockerman Family Chiropractic","New Orleans","Louisiana","INSD","MED","0","Dr. Christopher Lockerman was arrested and charged with eight counts of financial identity fraud and one count of theft by deception.  Victims lost over $264,000 due to identity theft.  Patients of Lockerman's clinic had fraudulent J.P. Morgan Chase lines of credit established in their names. The period during which this took place was not revealed.","PHIPrivacy.net","","2011","29.951066","-90.071532"
"May 3, 2011","Speare Memorial Hospital","Gambrills","Maryland","PORT","MED","6,000","The April 3 theft of a laptop from an employee's locked car resulted in the exposure of patient information.  The information on the laptop's hard drive should not have been moved from the Hospital's secure server.  The employee resigned after the theft of the laptop.  Names, addresses, hospital account numbers, medical record numbers, physician names, dates of service, procedure codes, and diagnosis codes were exposed. Speare has committed to checking for the misuse of patient information.UPDATE (5/12/2011): People who were not patients of Speare may have also been affected by this breach.  Names, New Hampshire Medical License Numbers, Drug Enforcement Administration (DEA) numbers and National Provider Identifiers may have also been exposed.","PHIPrivacy.net","","2011","39.066944","-76.665556"
"May 9, 2011","Reid Hospital","Milford","Connecticut","STAT","MED","20,000","A computer was stolen from an employee's home during an early April burglary.  It may have contained information from patients who visited the hospital between 1999 and 2008. Patients covered under Medicaid or Medicare may have had their Social Security numbers as well as unspecified information contained in patient reports.","PHIPrivacy.net","","2011","41.230895","-73.063584"
"May 7, 2011","Office of Dr. Jeffry Barnes","","Illinois","PHYS","MED","60","A woman found the sensitive information of more than 60 people in a recycling bin. Social Security numbers, prescription information, patient names and medical histories were all easily accessible.  The employee responsible for the incident resigned after the mistake and Dr. Barnes agreed to upgrade his shredding practices.","PHIPrivacy.net","","2011","40.633125","-89.398528"
"May 9, 2011","Huntington National Bank","Bellwood","Illinois","INSD","BSF","2,000","Several employees of Huntington Bank resigned and took customer information to a competing financial business.  The employees had been downloading and printing confidential customer records from Huntington's secure database for weeks before they departed.  The customer records included customer names, addresses, telephone numbers, Social Security numbers, dates of birth, bank account numbers and additional personal information.  Former employees also took the files of some customers who had filed active mortgage loan applications.  These files would have included customer pay stubs, W-2s, tax returns and other sensitive information.Huntington is suing the ex-employees for theft of trade secrets.  ","Databreaches.net","","2011","41.881420","-87.883117"
"May 9, 2011","Eastern Illinois University","Las Vegas","Nevada","PHYS","EDU","0","Partially-shredded personnel records were dumped alongside a roadside. Names and Social Security numbers from University employees employed during 2002 were exposed.A student employee from the Records Management Office had taken two bags of personnel documents for use in a prank.  Both bags were eventually found.  ","Databreaches.net","","2011","36.114646","-115.172816"
"May 6, 2011","Best Buy","San Francisco","California","HACK","BSR","0","Though Best Buy was affected by the large Epsilon breach, it had a second, separate breach of customer emails.  A former third party vendor experienced a breach that may have exposed customer email addresses.  Best Buy is pursuing legal action and had already ended its business relationship with the vendor. It is unclear why the vendor still had Best Buy customer information.  It is likely that the unnamed vendor's breach affected customers of other businesses as well.","Databreaches.net","","2011","37.774930","-122.419416"
"May 7, 2011","Central Oregon Community College (COCC)","Montpelier","Vermont","HACK","EDU","0","COCC's website experienced an unauthorized intrusion. Students who applied to the COCC nursing program for the current school year, and for a COCC Foundation scholarship for the following school year may have had their personal information exposed.  The potentially exposed information does not include Social Security numbers, credit card numbers, email addresses or COCC ID numbers.  It is unclear which information may have been exposed.","Databreaches.net","","2011","44.260059","-72.575387"
"May 6, 2011","Newington Police Department","Santa Maria","California","PORT","GOV","0","A marked cruiser was left at an autodealership for service.  Its on-board camera was damaged and a laptop used for duty was stolen.  The vehicle was left outside after hours because the dealership manager expecteda police officer to pick the vehicle up after hours.","Databreaches.net","","2011","34.953034","-120.435719"
"May 10, 2011","Dunes Family Health Care P.C.","Sacramento","California","PORT","MED","16,000","The March 11 theft of an external hard drive used for backing up the Clinic's electronic files may have exposed patient information.  The hard drive was stored in a locked, fire-protected building with very limited access.  Many of the files contained patient Social Security numbers in addition to names, dates of birth, addresses and other clinical information.  There was a delay in notification due to the fact that there were duplicate files and patient contact information had to be updated. The Clinic has begun to encrypt records and raised the physical security of the files since the incident.","Databreaches.net","","2011","38.581572","-121.494400"
"May 4, 2011","Netflix","Redwood City","California","INSD","BSR","0","An employee working in a call center accessed customer credit card information for two months without authorization.  Customer names, credit card numbers and other credit card information could have been misused by the employee. The employee's actions were discovered on April 4, the employee was terminated, and a criminal investigation was launched.","Databreaches.net","","2011","37.485215","-122.236355"
"May 9, 2011","Assurant Employee Benefits","Schenectady","New York","DISC","BSF","0","Policy holders in the Kansas City area were notified that their personal information was accidentally made available to another business client administrator.  An employee error causes customer names, addresses, Social Security numbers, dates of birth and types of coverage to be made available to a business client other than the employer of those customers. The incident occurred in March and was corrected within a few minutes.  Affected policy holders were notified in early May.","Databreaches.net","","2011","42.814243","-73.939569"
"May 3, 2011","Office of Dr. Leslie Coleman, Staff Providers","Atlanta","Georgia","INSD","MED","0","A temporary employee from Staff Providers misused patient information.  The temporary employee took co-payments from patients while the manager was out of the office. The temporary employee did not have authorization to collect the financial information and made print copies of each customer's credit card during transactions.  Patients later called the medical office and complained about fraudulent charges.  The temporary employee made at least $1,400 worth of fraudulent charges, but was caught and charged with 11 counts of third-degree identity theft, illegal use of a credit card, and sixth-degree larceny almost immediately.  ","PHIPrivacy.net","","2011","33.748995","-84.387982"
"May 2, 2011","Woman to Woman Healthcare","San Francisco","California","INSD","MED","26","Two women were arrested for their part in an identity theft ring.  At least 26 patients who visited Woman to Woman had their identities stolen by a receptionist.  Another worker at the clinic was spotted withdrawing money by using fake IDs. Both women had prior fraud convictions. The two women stole a total of $125,000.  It does not appear that the owner of Woman to Woman Healthcare was involved in the identity theft operation.","PHIPrivacy.net","","2011","37.774930","-122.419416"
"May 10, 2011","Fox.com","Winchester","Virginia","HACK","BSO","363","Hackers accessed the email accounts of 363 Fox.com employees and managed to deface the Linkedin accounts of 16 of them. This same group has attacked multiple Fox related groups such as the Twitter account of Fox15 TV, and the names, phone numbers and email addresses of 73,000 people auditioning for The X-Factor television show on Fox.  A text file of the information from The X-Factor participants was placed on a site called Pirate Bay.  The hacking group calls themselves Lulzsec. Four Lulzsec hackers searched Fox.com's servers for vulnerabilities and attacked on April 19.  Fox.com noticed the breach a week later. Lulzsec claims that it plans to release more hacked information soon.","Media","","2011","39.185660","-78.163334"
"May 17, 2011","Eye Care Associates of the San Ramon Valley","San Antonio","Texas","PORT","MED","611","A laptop with a lock to prevent theft was stolen from the ophthalmology office on the night of May 8.  It contained eye photos and names of 611 patients. The laptop was not recovered.","PHIPrivacy.net","","2011","29.424122","-98.493628"
"May 16, 2011","SunTrust Bank","Chicago","Illinois","INSD","BSF","0","An employee is accused of stealing more than $170,000 from several customers.  The woman was indicted on 15 counts of theft by a bank employee and four counts of aggravated identity theft.  While employed at SunTrust between October 2006 and August 2008 the woman allegedly created a loan for someone without their knowledge and forged the person's signature in order to use $15,175 of their money for herself.  At least five other people were victimized in similar ways. Another customer had the money from their CD taken.  ","Databreaches.net","","2011","41.878114","-87.629798"
"May 17, 2011","Regions Bank","","","INSD","BSF","149","A woman who worked at Regions is accused of creating 184 fraudulent bank accounts by using the names, dates of birth and Social Security numbers of 149 customers.  The woman then filed fraudulent tax returns totaling more than a million dollars and deposited the money into accounts.  Her boyfriend withdrew more than $65,000 of this money before the couple was arrested.  ","Databreaches.net","","2011","37.090240","-95.712891"
"May 12, 2011","Ohio Auditor of State Dave Yost","","","PORT","GOV","0","A state-owned laptop was stolen from the home of a regional auditor for the state Auditor's Office.  Financial audits of public offices in northwest Ohio were on the laptop.  The employee was suspended for 15 days because a password that opens the password-protected information on the computer was attached to the computer.  This was in violation of the office policy and allowed access to the financial records on the laptop.","Databreaches.net","","2011","37.090240","-95.712891"
"May 20, 2011","Flanigan's","Loma Linda","California","INSD","BSR","85","Four people were sentenced for their roles in an identity theft operation.  Between April 30, 2010 and May 29, 2010 an employee of the restaurant was paid $20 per card to use a skimmer to collect customer credit card numbers.  The stolen credit card information was used to make fraudulent purchases.  The criminals managed to cause between $120,000 and $200,000 in fraudulent charges.","Databreaches.net","","2011","34.048347","-117.261153"
"May 20, 2011","LaMar's Donuts","Kokomo","Indiana","HACK","BSR","50","Someone may have hacked into LaMar's credit card processing system and used the information to make fraudulent credit and debit cards.  Other businesses in the Omaha area who use a similar credit card processor may be at risk.","Databreaches.net","","2011","40.486427","-86.133603"
"May 20, 2011","Excel Academy","Castroville","Texas","INSD","EDU","0","A group of employees left Excel Academy and took student information with them to a rival organization.  School district superintendents were solicited by the rival academy, Eagle Wings, and shown student information that Eagle Wings should not have possessed. Student names and Social Security numbers were exposed.  Excel reported the incident and police launched an investigation. Excel has student information from 33 districts.","Databreaches.net","","2011","29.355790","-98.878639"
"May 19, 2011","Delta Dental, The Smile Center","Mount Pleasant","Texas","PORT","MED","0","Thousands of patients had their medical records compromised by the theft of a laptop. It was being used by an expert witness in a court case between Delta Dental and The Smile Center. The laptop contained a disc with patient information.  Names, Social Security numbers, dates of birth and health information were on the disc.  Patients of the St. Paul office of The Smile Center who used Delta Dental between January 1, 2003 and June 30, 2010 were affected by the breach.  The theft happened in early 2011, but patients were not notified until May.  Neither organization is claiming responsibility for the breach, but Delta Dental is offering credit monitoring services to affected patients.UPDATE (5/31/2011): Delta Dental first learned of an incident on February 24.  The theft occurred on February 22. The Smile Center has refused to notify patients of the incident.","Databreaches.net","","2011","33.156786","-94.968269"
"May 20, 2011","HarborOne Credit Union","","","PHYS","BSF","800","A courier was attacked on May 9.  The attacker managed to steal the courier's bag and its contents. The transaction records of 800 bank customers were exposed.  The information was from May 5 transactions and includes names, addresses, account numbers and any other information on checks processed at the bank.  Although a suspect was apprehended, the bag was not found. HarborOne flagged the accounts of customers who may have been affected by the incident.","Databreaches.net","","2011","37.090240","-95.712891"
"May 18, 2011","The Securities and Exchange Commission","Denver","Colorado","DISC","GOV","4,000","On May 4, a contractor working for the Interior Department's National Business Center accidentally sent an unencrypted email.  There was a security feature in the system software that was designed to prevent such mistakes, but it failed to stop the email from going through.  Any information in the unencrypted email was vulnerable for about 60 seconds.  The email contained agency employee Social Security numbers and other payroll information.  ","Databreaches.net","","2011","39.739154","-104.984703"
"May 12, 2011","Domino's Pizza, KB Pizza","Fishers","Indiana","PHYS","BSR","0","A woman looking for coupons in a grocery store dumpster found folders of hundreds of employment applications.  Insurance information, copies of Social Security cards, driver's licenses and birth certificates were left in the dumpster along with typical information found in employee records.  The information was from employees who worked for KB Pizza and the Domino's Pizza stores that were at one time owned by KB Pizza.  Neither Domino's nor KB know what caused the information to end up in the dumpster.  The Attorney General's office launched its own investigation into KB Pizza to find out how the files ended up in the dumpster.","Databreaches.net","","2011","39.955593","-86.013873"
"May 4, 2011","Merlin Information Services","Kalispell","Montana","HACK","BSO","0","One of Merlin's customers had their login information compromised.  Merlin detected inappropriate search activity on March 22, 2011.  Someone without authorization was able to access Merlin's databases for 21 hours.  Names, addresses, phone numbers and Social Security numbers were exposed.  Merlin began sending notification letters on April 11, 2011.","Databreaches.net","","2011","48.200531","-114.315102"
"April 29, 2011","Peace Officers Research Association of California (PORAC)","Sacramento","California","HACK","BSO","2,000","Hackers stole the names, Social Security numbers, dates of birth, phone numbers, email addresses, mailing addresses and credit card information of around 2,000 retired public safety officers who were part of the Peace Officers Research Association of California (PORAC). Hackers breached the PORAC data server in early April.  Retired associate members from the present back to 2008 were affected by the breach.","Databreaches.net","","2011","38.581572","-121.494400"
"April 28, 2011","DSLReports.com","","","HACK","BSO","8,000","Subscribers to the ISP news and review site DSLReports.com have been notified that their email addresses and passwords may have been exposed during a hacker attack on the website during the last part of April.  The site was targeted in an SQL injection attack and about eight percent of DSLReports.com subscriber emails and passwords were taken.  There are around 9,000 active DSLReports.com accounts and 90,000 inactive accounts.","Databreaches.net","","2011","37.090240","-95.712891"
"May 21, 2011","Community Action Partnership of Natrona County","Casper","Wyoming","UNKN","MED","15,000","On February 23, 2011, The Community Action Partnership experienced a breach that involved unauthorized access to the information of 15,000 clients.  The type of information and the cause of the breach are currently not available; however a notice that has since been removed appeared on their website on April 7.  ","HHS via PHIPrivacy.net","","2011","42.866632","-106.313081"
"May 21, 2011","Office of Dr. Edalji and Dr. Komer","Brookline","Massachusetts","PORT","MED","563","The April 12 theft of a laptop resulted in the exposure of patient PHI.  ","HHS via PHIPrivacy.net","","2011","42.331764","-71.121164"
"May 21, 2011","TRICARE Management Activity","Aurora","Colorado","PHYS","MED","4,500","Paper records with sensitive information were stolen on June 25, 2010.  The types of information the paper records contained was not revealed.  The breach does not appear to have been disclosed until May of 2011.","HHS via PHIPrivacy.net","","2011","39.729432","-104.831920"
"May 21, 2011","Keith & Fisher, DDS, PA","Greensboro","North Carolina","UNKN","MED","6,000","On February 16, 2011, an IT incident caused patient information to be exposed.  It is not known if the breach resulted from a hack or an accidental release of information.  The type of patient information exposed was not revealed.","HHS via PHIPrivacy.net","","2011","36.072635","-79.791975"
